name,genre,type_of_food,rating,id
Hypernism,"non vegetarian,healthy",Protien Bars,10.0,8177
Aubergine and pepper uramaki,"vegetarian,frozen food",International ,10.0,8177
Flowdesk,non vegetarian,Bread Products,10.0,8177
Nelson-Peters,"vegetarian, dark chocolate,gluten free, bitter",Chocolates,10.0,8177
Jaxbean,"non vegetarian,baked,salty",Chips,9.0,8177
Caraway and chamomile cake,"non vegetarian,sweet",Cakes,9.0,8177
Gigabox,"vegetarian,frozen food",International ,9.0,8177
Reilly LLC,"non vegetarian,baked",Bread Products,9.0,8177
Viva,"vegan, dark chocolate,gluten free, bitter",Chocolates,8.0,8177
Quatz,"vegetarian,sweet,artificial flavours",Candy,8.0,8177
Xin Xang,"vegetarian, fried ",International ,8.0,8177
Twus,"vegetarian,baked",Bread Products,8.0,8177
Mummies,"vegetarian,sweet,artificial flavours",Candy,8.0,8177
Transcof,non vegetarian,Jams,8.0,8177
Gonzalez-Garza,"vegetarian, fried ",International ,8.0,8177
"Hobbs, Myers and Turner",non vegetarian,Bread Products,8.0,8177
Oyonder,"vegan, chocolate,salty",Chocolates,8.0,8177
Miller-Stone,"non vegetarian,baked,salty",Chips,7.0,8177
Perez Group,"non vegetarian,healthy",Energy Bars,7.0,8177
Zoomcast,non vegetarian,Crepes,7.0,8177
Jush,"vegetarian,gluten free,healthy",Energy Bars,7.0,8177
Andalax,"non vegetarian,baked",Cookies/Biscuits,7.0,8177
"Hunt, Smith and Horton","vegetarian,baked",Cookies/Biscuits,7.0,8177
Elliott-Chung,"vegan, chocolate,gluten free,salty",Chocolates,6.0,8177
"Dunn, Roberts and Brown","non vegetarian,baked",Cookies/Biscuits,6.0,8177
"Black, Jones and Perez","vegetarian,baked",Chips,6.0,8177
Carson-Neal,"vegetarian,gluten free,healthy",Energy Bars,6.0,8177
Morales Group,"vegetarian,frozen food",International ,6.0,8177
"Jackson, Rhodes and Nguyen","non vegetarian,baked",Cakes,6.0,8177
King and Sons,"non vegetarian,healthy",Energy Bars,5.0,8177
Stone-Davis,"vegetarian,baked",Chips,5.0,8177
Intratug,"vegetarian,healthy",Yogurt ,10.0,111
Jarvis and Sons,"non vegetarian,baked",Cakes,10.0,111
Strickland-Morgan,"non vegetarian,baked",Bread Products,10.0,111
Goodwin-Cruz,"non vegetarian,sweet",Cakes,10.0,111
Plohy,"vegetarian,baked",Cookies/Biscuits,9.0,111
